Gender,Age,Country,State,Time,Overall,Pace,AgeGroup,GenAge,Year,Race,Distance,RaceID,RunnerID,AgeGen
M,31,GBR,,2062,7855,0:11:05,30-34,M30-34,2025,Dash,5K,25Dash,25Dash_7855,30-34M
W,29,USA,NY,2062,7856,0:11:05,25-29,W25-29,2025,Dash,5K,25Dash,25Dash_7856,25-29W
W,52,ARG,,2062,7857,0:11:05,50-54,W50-54,2025,Dash,5K,25Dash,25Dash_7857,50-54W
W,27,USA,NY,2062,7858,0:11:05,25-29,W25-29,2025,Dash,5K,25Dash,25Dash_7858,25-29W
M,31,IND,,2062,7859,0:11:05,30-34,M30-34,2025,Dash,5K,25Dash,25Dash_7859,30-34M
W,39,BRA,,2063,7860,0:11:05,35-39,W35-39,2025,Dash,5K,25Dash,25Dash_7860,35-39W
M,35,USA,NY,2063,7861,0:11:05,35-39,M35-39,2025,Dash,5K,25Dash,25Dash_7861,35-39M
M,39,BRA,,2063,7862,0:11:05,35-39,M35-39,2025,Dash,5K,25Dash,25Dash_7862,35-39M
M,40,FRA,,2063,7863,0:11:05,40-44,M40-44,2025,Dash,5K,25Dash,25Dash_7863,40-44M
M,31,USA,NJ,2063,7865,0:11:05,30-34,M30-34,2025,Dash,5K,25Dash,25Dash_7865,30-34M
W,65,ARG,,2063,7864,0:11:05,65-69,W65-69,2025,Dash,5K,25Dash,25Dash_7864,65-69W
M,63,GER,,2063,7866,0:11:05,60-64,M60-64,2025,Dash,5K,25Dash,25Dash_7866,60-64M
W,33,CRC,,2063,7867,0:11:05,30-34,W30-34,2025,Dash,5K,25Dash,25Dash_7867,30-34W
W,33,FRA,,2063,7868,0:11:05,30-34,W30-34,2025,Dash,5K,25Dash,25Dash_7868,30-34W
W,32,USA,NY,2063,7869,0:11:05,30-34,W30-34,2025,Dash,5K,25Dash,25Dash_7869,30-34W
W,34,USA,NY,2063,7870,0:11:05,30-34,W30-34,2025,Dash,5K,25Dash,25Dash_7870,30-34W
M,28,IND,,2063,7871,0:11:05,25-29,M25-29,2025,Dash,5K,25Dash,25Dash_7871,25-29M
W,27,USA,NY,2064,7872,0:11:06,25-29,W25-29,2025,Dash,5K,25Dash,25Dash_7872,25-29W
W,65,NED,,2064,7873,0:11:06,65-69,W65-69,2025,Dash,5K,25Dash,25Dash_7873,65-69W
W,46,GER,,2064,7874,0:11:06,45-49,W45-49,2025,Dash,5K,25Dash,25Dash_7874,45-49W
M,35,COL,,2064,7875,0:11:06,35-39,M35-39,2025,Dash,5K,25Dash,25Dash_7875,35-39M
W,32,BRA,,2064,7876,0:11:06,30-34,W30-34,2025,Dash,5K,25Dash,25Dash_7876,30-34W
W,42,USA,LA,2064,7877,0:11:06,40-44,W40-44,2025,Dash,5K,25Dash,25Dash_7877,40-44W
M,47,FRA,,2064,7878,0:11:06,45-49,M45-49,2025,Dash,5K,25Dash,25Dash_7878,45-49M
M,61,GER,,2064,7879,0:11:06,60-64,M60-64,2025,Dash,5K,25Dash,25Dash_7879,60-64M
W,53,COL,,2064,7880,0:11:06,50-54,W50-54,2025,Dash,5K,25Dash,25Dash_7880,50-54W
M,54,ITA,,2064,7881,0:11:06,50-54,M50-54,2025,Dash,5K,25Dash,25Dash_7881,50-54M
W,54,BRA,,2065,7882,0:11:06,50-54,W50-54,2025,Dash,5K,25Dash,25Dash_7882,50-54W
W,40,USA,CT,2065,7883,0:11:06,40-44,W40-44,2025,Dash,5K,25Dash,25Dash_7883,40-44W
W,47,USA,LA,2065,7884,0:11:06,45-49,W45-49,2025,Dash,5K,25Dash,25Dash_7884,45-49W
M,28,NED,,2065,7885,0:11:06,25-29,M25-29,2025,Dash,5K,25Dash,25Dash_7885,25-29M
W,52,USA,NJ,2065,7886,0:11:06,50-54,W50-54,2025,Dash,5K,25Dash,25Dash_7886,50-54W
M,29,USA,NJ,2065,7887,0:11:06,25-29,M25-29,2025,Dash,5K,25Dash,25Dash_7887,25-29M
M,61,NED,,2065,7888,0:11:06,60-64,M60-64,2025,Dash,5K,25Dash,25Dash_7888,60-64M
W,33,USA,CT,2065,7889,0:11:06,30-34,W30-34,2025,Dash,5K,25Dash,25Dash_7889,30-34W
M,31,IRL,,2065,7890,0:11:06,30-34,M30-34,2025,Dash,5K,25Dash,25Dash_7890,30-34M
W,47,USA,PA,2065,7891,0:11:06,45-49,W45-49,2025,Dash,5K,25Dash,25Dash_7891,45-49W
M,38,USA,NJ,2065,7892,0:11:06,35-39,M35-39,2025,Dash,5K,25Dash,25Dash_7892,35-39M
M,40,THA,,2065,7893,0:11:06,40-44,M40-44,2025,Dash,5K,25Dash,25Dash_7893,40-44M
M,54,FRA,,2065,7894,0:11:06,50-54,M50-54,2025,Dash,5K,25Dash,25Dash_7894,50-54M
